"Module","ProjType","Suffix","File"
"common","business","other","modularity\common\JNPF.Common.Core\Manager\User\Conditions\ConditionClauseAppender.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Manager\User\Conditions\ConditionStrategyContext.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Manager\User\Conditions\DataPermissionShortCircuits.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Manager\User\Conditions\DataPermissionWhereSnapshot.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Manager\User\Conditions\GetConditionQueryClauseAppender.cs"
"engine","business","other","modularity\engine\JNPF.VisualDev.Engine\CodeGen\CodeGenWay.cs"
"engine","business","other","modularity\engine\JNPF.VisualDev.Engine\Core\FormDataParsing.cs"
"engine","business","other","modularity\engine\JNPF.VisualDev.Engine\Core\TemplateParsingBase.cs"
"engine","business","Helper","modularity\engine\JNPF.VisualDev.Engine\Security\BackEnd\CodeGenControlsAttributeHelper.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\BigDataService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\DocumentService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\EmailService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\EmployeeService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\OrderService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\ProductClassifyService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\ProductCustomerService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\ProductGoodsService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\ProductService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\ProjectGanttService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\TableExampleService.cs"
"extend","business","Service","modularity\extend\JNPF.Extend\WorkLogService.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\BigDataEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\DocumentEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\DocumentShareEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\EmailConfigEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\EmailReceiveEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\EmailSendEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\EmployeeEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\OrderEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\OrderEntryEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\OrderReceivableEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\ProductClassifyEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\ProductCustomerEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\ProductEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\ProductEntryEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\ProductgoodsEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\ProjectGanttEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\TableExampleEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\WorkLogEntity.cs"
"extend","extend","Entity","modularity\extend\JNPF.Extend.Entitys\Entity\WorkLogShareEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\AiCallLogService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\AIDevelopmentPipelineService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\AiPromptTemplateService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\FounderGuardMiddleware.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\FounderService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\IntegrateService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\IntegrateTaskService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\KnowledgeGraphStore.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\LlmBudgetApiService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\LlmGatewayService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\WebHookService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Bridges\InteAssistantBridge.cs"
"inteAssistant","business","Repository","modularity\inteAssistant\JNPF.InteAssistant\Codegen\EntityDesign\EntityDesignRepository.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Gates\ConsistencyChecker.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Gates\QualityScoreCalculator.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Infrastructure\Attachments\PipelineAttachmentService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Infrastructure\Security\PipelineTripleResolver.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Ir\AnalysisCompletedCompletenessGate.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Ir\InferredRuleStabilityPolicy.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Ir\IrCompletenessGate.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Ir\IrDiffEngine.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Ir\IrEventStoreService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Ir\IrObservabilityApiService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Ir\IrProjectionEngine.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Job\EvalCalibrationJob.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Job\SkillRunRecoveryJob.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Llm\LlmCallPolicy.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Llm\SkillLlmBudgetGuard.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Pipeline\StageConfirmSkillTrigger.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Sa\SaMaterializationService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Sa\SaMaterializer.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\AnalystAffectedStepsRerunService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\AnalystSkillService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\BugfixSkillOrchestrator.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\BugfixSkillsApiService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\ContextBuilderService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\DeploySkillsApiService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\DeploySkillService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\DesignSkillOrchestrator.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\DesignSkillsApiService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\DeveloperSkillsApiService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\PipelineS2ProgressStore.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\QualityDesignGate.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\RequirementEvolutionContext.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\SkillHarness.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Skills\SkillsApiService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Skills\UserRequirementLoader.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentConfigEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentConfigService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentSkillEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\DeliverableRebuildService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\DomainKnowledgeService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalEntities.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalPipelineRunner.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectEntity.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectRegistry.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\JudgeCalibrationService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\KnowledgeRuleEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\KnowledgeRuleService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\McpConfigEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\MemoryRetentionService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\MenuBadgeEntity.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelProviderEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelProviderService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelRoutingEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelRoutingService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineDeliverableService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineDeliveryCoordinator.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineStageConfigEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineStageConfigService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\QualityApiService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\SandboxConfigService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillDeliverableCoordinator.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillQualityBoardService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillReviewApiService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillReviewEntity.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioMenuEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioMenuService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioUsageService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\TenantGlossaryService.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\TenantIndustryService.cs"
"inteAssistant","business","Entity","modularity\inteAssistant\JNPF.InteAssistant\Studio\UiTemplateEntity.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\UiTemplateService.cs"
"inteAssistant","business","Mapper","modularity\inteAssistant\JNPF.InteAssistant\Studio\VisualDev\Ir1ToVisualDevMapper.cs"
"inteAssistant","business","Service","modularity\inteAssistant\JNPF.InteAssistant\Studio\VisualDev\VisualDevMapperApiService.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant.Engine\ExecutionQueue.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant.Engine\InteAssistantRun.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant.Engine\InteAssistantWayEventSubscriber.cs"
"inteAssistant","business","other","modularity\inteAssistant\JNPF.InteAssistant.Engine\IntegrateTiming.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiCallLogEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiEntityFieldEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiIrEventEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiIrFragmentSnapshotEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPipelineEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPipelineMessageEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPipelineS2ProgressEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiProjectEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPromptTemplateEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiRouteTableEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiSeedTemplateEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiSkillLlmPolicyEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiSkillRunEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\EvalMetricEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\FounderAuthLogEntity.cs"
"inteAssistant","inteAssistant","other","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\InteAssistantAttachment.cs"
"inteAssistant","inteAssistant","other","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\InteAssistantDeliverable.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateNodeEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateQueueEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateTaskEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IrEditPatchEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IrVersionEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\KnowledgeEdgeEntity.cs"
"inteAssistant","inteAssistant","Entity","modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\KnowledgeNodeEntity.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\ImReplyService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\MessageAccountService.cs"
"message","business","Manager","modularity\message\JNPF.Message\Service\MessageManager.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\MessageMonitorService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\MessageService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\MessageTemplateService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\NoticeService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\SendMessageService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\ShortLinkService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\WechatMiniProgramService.cs"
"message","business","Service","modularity\message\JNPF.Message\Service\WechatOpenService.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\IMContentEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\ImReplyEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageAccountEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageMonitorEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageSendEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageSendTemplateEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageShortLinkEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageSmsFieldEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageTemplateEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageTemplateParamEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\MessageWechatUserEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\NoticeEntity.cs"
"message","message","Entity","modularity\message\JNPF.Message.Entitys\Entity\UserDeviceEntity.cs"
"oauth","business","Service","modularity\oauth\JNPF.OAuth\OAuthService.cs"
"oauth","business","other","modularity\oauth\JNPF.OAuth\Helpers\LoginFlowHelpers.cs"
"report","business","Service","modularity\report\JNPF.Report\ReportService.cs"
"report","report","Entity","modularity\report\JNPF.Report.Entitys\Entity\ReportEntity.cs"
"system","business","Service","modularity\system\JNPF.Systems\Common\TenantService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Common\TestService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\AuthorizeService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\DepartmentService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\GroupService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\OrganizeAdministratorService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\OrganizeService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\PermissionGroupService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\PositionService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\RoleService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\SocialsUserService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\UserRelationService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\UsersCurrentService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\UsersImportExportService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\UsersMutationService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\UsersQueryService.cs"
"system","business","Service","modularity\system\JNPF.Systems\Permission\UsersService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\AdvancedQueryService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\BillRuleService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ComFieldsService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\CommonWordsService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DataBaseService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DataInterfaceLogService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DataInterfaceService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DataInterfaceVariateService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DataSyncService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DbLinkService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DictionaryDataService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\DictionaryTypeService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\InterfaceOauthService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleButtonService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleColumnService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleDataAuthorizeLinkService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleDataAuthorizeSchemeService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleDataAuthorizeService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleFormService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ModuleService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\PortalManageService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\PrintDevService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\PrintLogService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ProvinceAtlasService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ProvinceService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\ScheduleService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\SignatureService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\SynThirdInfoService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\SysConfigService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\SysLogService.cs"
"system","business","Service","modularity\system\JNPF.Systems\System\SystemService.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\AuthorizeEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\ColumnsPurviewEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\GroupEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\OrganizeAdministratorEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\OrganizeEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\OrganizeRelationEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\PermissionGroupEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\PositionEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\RoleEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\SignImgEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\SocialsUsersEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\UserEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\UserOldPasswordEntity.cs"
