"File","HasEntityAttr","HasRepo","HasClient","HasQueryable","HasAdo","HasFilterable","HasRawSql"
"modularity\common\JNPF.Common.CodeGen\DataParsing\ControlParsing.cs","False","True","True","True","False","False","False"
"modularity\common\JNPF.Common.CodeGen\ExportImport\ExportImportDataHelper.cs","False","True","True","True","False","False","True"
"modularity\common\JNPF.Common.Core\Bridges\IInteAssistantBridge.cs","False","False","True","False","False","False","False"
"modularity\common\JNPF.Common.Core\EventBus\IntegreateEventSubscriber.cs","False","False","True","True","False","False","False"
"modularity\common\JNPF.Common.Core\EventBus\LogEventSubscriber.cs","False","False","True","False","False","False","False"
"modularity\common\JNPF.Common.Core\EventBus\UserEventSubscriber.cs","False","False","True","True","False","False","True"
"modularity\common\JNPF.Common.Core\Filter\LogExceptionHandler.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Filter\RequestActionFilter.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Handlers\IMHandler.cs","False","False","True","True","False","False","True"
"modularity\common\JNPF.Common.Core\Job\DbJobPersistence.cs","False","False","True","True","False","False","True"
"modularity\common\JNPF.Common.Core\Job\Http\JNPFHttpJob.cs","False","False","True","True","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\DataBase\DataBaseManager.cs","False","False","True","True","True","False","True"
"modularity\common\JNPF.Common.Core\Manager\DataBase\IDataBaseManager.cs","False","False","True","False","False","False","True"
"modularity\common\JNPF.Common.Core\Manager\Tenant\ITenantManager.cs","False","False","True","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\Tenant\TenantManager.cs","False","False","True","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\IUserManager.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\UserManager.cs","False","True","True","True","False","False","True"
"modularity\common\JNPF.Common.Core\Manager\User\Conditions\ConditionalByTableNameFilter.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\Conditions\ConditionClauseAppender.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\Conditions\ConditionStrategyContext.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\Conditions\DataPermissionShortCircuits.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\Conditions\DataPermissionWhereSnapshot.cs","False","False","True","True","False","False","False"
"modularity\common\JNPF.Common.Core\Manager\User\Conditions\GetConditionQueryClauseAppender.cs","False","False","False","False","False","False","False"
"modularity\engine\JNPF.VisualDev.Engine\CodeGen\CodeGenWay.cs","False","False","False","False","False","False","False"
"modularity\engine\JNPF.VisualDev.Engine\Core\FormDataParsing.cs","False","True","True","True","False","False","False"
"modularity\engine\JNPF.VisualDev.Engine\Core\TemplateParsingBase.cs","False","False","False","False","False","False","False"
"modularity\engine\JNPF.VisualDev.Engine\Security\BackEnd\CodeGenControlsAttributeHelper.cs","False","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend\BigDataService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\DocumentService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\EmailService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\EmployeeService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\OrderService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\ProductClassifyService.cs","False","True","False","True","False","False","True"
"modularity\extend\JNPF.Extend\ProductCustomerService.cs","False","True","False","True","False","False","False"
"modularity\extend\JNPF.Extend\ProductGoodsService.cs","False","True","False","True","False","False","False"
"modularity\extend\JNPF.Extend\ProductService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\ProjectGanttService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\TableExampleService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend\WorkLogService.cs","False","True","True","True","False","False","True"
"modularity\extend\JNPF.Extend.Entitys\Entity\BigDataEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\DocumentEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\DocumentShareEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\EmailConfigEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\EmailReceiveEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\EmailSendEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\EmployeeEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\OrderEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\OrderEntryEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\OrderReceivableEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\ProductClassifyEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\ProductCustomerEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\ProductEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\ProductEntryEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\ProductgoodsEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\ProjectGanttEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\TableExampleEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\WorkLogEntity.cs","True","False","False","False","False","False","False"
"modularity\extend\JNPF.Extend.Entitys\Entity\WorkLogShareEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\AiCallLogService.cs","False","True","False","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\AIDevelopmentPipelineService.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\AiPromptTemplateService.cs","False","True","False","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\FounderGuardMiddleware.cs","False","True","False","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\FounderService.cs","False","True","False","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\IntegrateService.cs","False","True","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\IntegrateTaskService.cs","False","True","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\KnowledgeGraphStore.cs","False","True","False","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\LlmBudgetApiService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\LlmGatewayService.cs","False","True","False","False","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\WebHookService.cs","False","True","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Bridges\InteAssistantBridge.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Codegen\EntityDesign\EntityDesignRepository.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Gates\ConsistencyChecker.cs","False","False","True","False","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Gates\QualityScoreCalculator.cs","False","False","True","False","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Infrastructure\Attachments\PipelineAttachmentService.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Infrastructure\Security\PipelineTripleResolver.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\AnalysisCompletedCompletenessGate.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\InferredRuleStabilityPolicy.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\IrCompletenessGate.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\IrDiffEngine.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\IrEventStoreService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\IrObservabilityApiService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Ir\IrProjectionEngine.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Job\EvalCalibrationJob.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Job\SkillRunRecoveryJob.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Llm\LlmCallPolicy.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Llm\SkillLlmBudgetGuard.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Pipeline\StageConfirmSkillTrigger.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Sa\SaMaterializationService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Sa\SaMaterializer.cs","False","False","True","False","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\AnalystAffectedStepsRerunService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\AnalystSkillService.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\BugfixSkillOrchestrator.cs","False","False","True","False","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\BugfixSkillsApiService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\ContextBuilderService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\DeploySkillsApiService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\DeploySkillService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\DesignSkillOrchestrator.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\DesignSkillsApiService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\DeveloperSkillsApiService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\PipelineS2ProgressStore.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\QualityDesignGate.cs","False","False","True","False","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\RequirementEvolutionContext.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\SkillHarness.cs","False","False","True","False","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\SkillsApiService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Skills\UserRequirementLoader.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentConfigEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentConfigService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentSkillEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\DeliverableRebuildService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\DomainKnowledgeService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalEntities.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalPipelineRunner.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectRegistry.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectService.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\JudgeCalibrationService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\KnowledgeRuleEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\KnowledgeRuleService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\McpConfigEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\MemoryRetentionService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\MenuBadgeEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelProviderEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelProviderService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelRoutingEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelRoutingService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineDeliverableService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineDeliveryCoordinator.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineStageConfigEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineStageConfigService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\QualityApiService.cs","False","False","True","False","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\SandboxConfigService.cs","False","False","True","False","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillDeliverableCoordinator.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillQualityBoardService.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillReviewApiService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillReviewEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioMenuEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioMenuService.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioUsageService.cs","False","False","True","True","True","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\TenantGlossaryService.cs","False","False","True","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\TenantIndustryService.cs","False","False","True","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\UiTemplateEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\UiTemplateService.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\VisualDev\Ir1ToVisualDevMapper.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant\Studio\VisualDev\VisualDevMapperApiService.cs","False","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Engine\ExecutionQueue.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant.Engine\InteAssistantRun.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Engine\InteAssistantWayEventSubscriber.cs","False","False","True","True","False","False","True"
"modularity\inteAssistant\JNPF.InteAssistant.Engine\IntegrateTiming.cs","False","False","True","True","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiCallLogEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiEntityFieldEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiIrEventEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiIrFragmentSnapshotEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPipelineEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPipelineMessageEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPipelineS2ProgressEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiProjectEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiPromptTemplateEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiRouteTableEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiSeedTemplateEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiSkillLlmPolicyEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\AiSkillRunEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\EvalMetricEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\FounderAuthLogEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\InteAssistantAttachment.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\InteAssistantDeliverable.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateNodeEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateQueueEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IntegrateTaskEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IrEditPatchEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\IrVersionEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\KnowledgeEdgeEntity.cs","True","False","False","False","False","False","False"
"modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\KnowledgeNodeEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message\Service\ImReplyService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\MessageAccountService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\MessageManager.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\MessageMonitorService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\MessageService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\MessageTemplateService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\NoticeService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\SendMessageService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\ShortLinkService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\WechatMiniProgramService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message\Service\WechatOpenService.cs","False","True","True","True","False","False","True"
"modularity\message\JNPF.Message.Entitys\Entity\IMContentEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\ImReplyEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageAccountEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageMonitorEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageSendEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageSendTemplateEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageShortLinkEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageSmsFieldEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageTemplateEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageTemplateParamEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\MessageWechatUserEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\NoticeEntity.cs","True","False","False","False","False","False","False"
"modularity\message\JNPF.Message.Entitys\Entity\UserDeviceEntity.cs","True","False","False","False","False","False","False"
"modularity\oauth\JNPF.OAuth\OAuthService.cs","False","True","True","True","True","False","True"
"modularity\oauth\JNPF.OAuth\Helpers\LoginFlowHelpers.cs","False","False","False","False","False","False","False"
"modularity\report\JNPF.Report\ReportService.cs","False","True","True","True","False","False","True"
"modularity\report\JNPF.Report.Entitys\Entity\ReportEntity.cs","True","False","False","False","False","False","False"
"modularity\system\JNPF.Systems\Common\TenantService.cs","False","False","True","True","False","False","True"
"modularity\system\JNPF.Systems\Common\TestService.cs","False","True","True","False","True","False","True"
"modularity\system\JNPF.Systems\Permission\AuthorizeService.cs","False","True","True","True","True","False","True"
"modularity\system\JNPF.Systems\Permission\DepartmentService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\GroupService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\OrganizeAdministratorService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\OrganizeService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\PermissionGroupService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\PositionService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\RoleService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\SocialsUserService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\UserRelationService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\UsersCurrentService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\UsersImportExportService.cs","False","True","True","True","False","False","False"
"modularity\system\JNPF.Systems\Permission\UsersMutationService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\Permission\UsersQueryService.cs","False","True","True","True","False","False","False"
"modularity\system\JNPF.Systems\Permission\UsersService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\AdvancedQueryService.cs","False","True","False","True","False","False","True"
"modularity\system\JNPF.Systems\System\BillRuleService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\ComFieldsService.cs","False","True","False","True","False","False","True"
"modularity\system\JNPF.Systems\System\CommonWordsService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\DataBaseService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\DataInterfaceLogService.cs","False","True","True","True","False","False","False"
"modularity\system\JNPF.Systems\System\DataInterfaceService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\DataInterfaceVariateService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\DataSyncService.cs","False","True","False","False","False","False","False"
"modularity\system\JNPF.Systems\System\DbLinkService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\DictionaryDataService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\DictionaryTypeService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\InterfaceOauthService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\ModuleButtonService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\ModuleColumnService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\ModuleDataAuthorizeLinkService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\ModuleDataAuthorizeSchemeService.cs","False","True","True","True","False","False","True"
"modularity\system\JNPF.Systems\System\ModuleDataAuthorizeService.cs","False","True","True","True","False","False","True"
