File,Class,Method,CC,LOC,Params,NestingDepth,IfCount,SwitchCases,TryCatch,Returns,Calls
application/JNPF.API.Entry/Modules/DatabaseModule.cs,DatabaseModule,OnApplicationInitialization,1,6,1,0,0,0,0,0,3
application/JNPF.API.Entry/Modules/DiffLogPublishModule.cs,DiffLogPublishModule,ConfigureServices,3,14,2,1,2,0,0,1,5
application/JNPF.API.Entry/Modules/EventBusModule.cs,EventBusModule,ConfigureServices,3,19,2,1,2,0,0,0,8
application/JNPF.API.Entry/Modules/EventBusModule.cs,OutboxStoreAdapter,WriteAsync,1,3,2,0,0,0,0,1,1
application/JNPF.API.Entry/Modules/ForwardedHeadersModule.cs,ForwardedHeadersModule,ConfigureServices,1,8,2,0,0,0,0,0,3
application/JNPF.API.Entry/Modules/HealthCheckModule.cs,HealthCheckModule,ConfigureServices,1,9,2,0,0,0,0,0,4
application/JNPF.API.Entry/Modules/HealthCheckModule.cs,HealthCheckModule,OnApplicationInitialization,1,26,1,0,0,0,0,0,6
application/JNPF.API.Entry/Modules/HealthCheckModule.cs,HealthCheckModule,WriteJsonResponse,1,15,2,0,0,0,0,0,5
application/JNPF.API.Entry/Modules/JsonSettingsModule.cs,JsonSettingsModule,ConfigureServices,1,38,2,0,0,0,0,0,9
application/JNPF.API.Entry/Modules/ObservabilityModule.cs,ObservabilityModule,ConfigureServices,5,53,2,0,0,0,0,0,24
application/JNPF.API.Entry/Modules/RateLimitingModule.cs,RateLimitingModule,ConfigureServices,1,44,2,0,0,0,0,1,9
application/JNPF.API.Entry/Modules/RuntimeFoundationModule.cs,RuntimeFoundationModule,ConfigureServices,1,3,2,0,0,0,0,0,1
application/JNPF.API.Entry/Modules/RuntimeFoundationModule.cs,RuntimeFoundationModule,OnApplicationInitialization,1,7,1,0,0,0,0,0,3
application/JNPF.API.Entry/Modules/SandboxModule.cs,SandboxModule,ConfigureServices,1,7,2,0,0,0,0,0,2
application/JNPF.API.Entry/Modules/ValidationModule.cs,ValidationModule,ConfigureServices,1,10,2,0,0,0,0,0,3
application/JNPF.API.Entry/Modules/WeixinModule.cs,WeixinModule,ConfigureServices,1,5,2,0,0,0,0,0,3
application/JNPF.API.Entry/Modules/WeixinModule.cs,WeixinModule,OnApplicationInitialization,1,7,1,0,0,0,0,0,5
application/JNPF.API.Entry/Program.cs,WebComponent,Load,2,54,2,1,1,0,0,0,17
application/JNPF.API.Entry/Services/AiCallLogService.cs,AiCallLogService,CreateLog,2,21,2,0,0,0,0,0,5
application/JNPF.API.Entry/Services/AiCallLogService.cs,AiCallLogService,GetList,3,36,5,1,2,0,0,1,9
application/JNPF.API.Entry/Services/AiCallLogService.cs,AiCallLogService,GetStats,3,32,1,0,0,0,0,1,20
application/JNPF.API.Entry/Services/AiCallLogService.cs,AiCallLogService,Truncate,3,4,2,1,1,0,0,2,1
application/JNPF.API.Entry/Services/DeadLetterService.cs,DeadLetterService,GetDeadLetters,1,3,3,0,0,0,0,1,1
application/JNPF.API.Entry/Services/DeadLetterService.cs,DeadLetterService,RetryDeadLetter,1,3,2,0,0,0,0,0,1
application/JNPF.API.Entry/Services/DeadLetterService.cs,DeadLetterService,BatchRetryDeadLetters,2,6,2,1,0,0,0,0,1
application/JNPF.API.Entry/Services/DeadLetterService.cs,DeadLetterService,GetStats,1,3,1,0,0,0,0,1,1
application/JNPF.API.Entry/Services/LogDiskGuardService.cs,LogDiskGuardService,ExecuteAsync,9,52,1,5,5,0,1,0,9
application/JNPF.API.Entry/Services/LogHealthCheckService.cs,LogHealthCheckService,Get,8,46,0,1,1,0,0,2,11
application/JNPF.API.Entry/Services/LogHealthCheckService.cs,LogHealthCheckService,GetV2,1,11,0,0,0,0,0,1,0
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,GetErrorsAsync,2,15,4,0,0,0,0,1,6
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,GetTraceAsync,4,22,1,1,1,0,0,2,9
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,GetSlowRequestsAsync,3,13,2,0,0,0,0,1,5
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,ReadLogEntriesAsync,13,46,2,2,7,0,0,1,22
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,ReadSerilogJsonFileAsync,6,53,1,4,2,0,2,1,15
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,GetString,4,9,2,1,1,0,0,2,3
application/JNPF.API.Entry/Services/TechnicalLogService.cs,TechnicalLogService,GetDateTime,4,11,2,2,2,0,0,2,3
application/JNPF.API.Entry/Startup.cs,Startup,ConfigureServices,1,3,1,0,0,0,0,0,1
application/JNPF.API.Entry/Startup.cs,Startup,Configure,2,34,2,0,0,0,0,0,20
application/JNPF.API.Entry/Startup.cs,Startup,AssertMiddlewarePipeline,3,41,1,1,0,0,2,0,13
application/JNPF.OA.API.Entry/OAStartup.cs,OAStartup,ConfigureServices,1,5,1,0,0,0,0,0,0
application/JNPF.OA.API.Entry/OAStartup.cs,OAStartup,Configure,1,4,5,0,0,0,0,0,0
application/JNPF.OA.API.Entry/Program.cs,WebComponent,Load,2,21,2,0,0,0,0,1,5
framework/JNPF.Extras.Authentication.JwtBearer/Extensions/JWTAuthorizationServiceCollectionExtensions.cs,JWTAuthorizationServiceCollectionExtensions,AddJwt,3,31,4,1,1,0,0,1,11
framework/JNPF.Extras.Authentication.JwtBearer/Extensions/JWTAuthorizationServiceCollectionExtensions.cs,JWTAuthorizationServiceCollectionExtensions,AddJwt,1,18,4,0,0,0,0,1,5
framework/JNPF.Extras.Authentication.JwtBearer/Extensions/JWTAuthorizationServiceCollectionExtensions.cs,JWTAuthorizationServiceCollectionExtensions,AddJwt,4,16,5,0,0,0,0,1,11
framework/JNPF.Extras.Authentication.JwtBearer/Extensions/JWTAuthorizationServiceCollectionExtensions.cs,JWTAuthorizationServiceCollectionExtensions,ConfigureJWTOptions,1,10,1,0,0,0,0,0,5
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,Encrypt,1,4,2,0,0,0,0,1,2
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,Encrypt,2,8,3,0,0,0,0,1,3
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,Encrypt,3,12,3,1,1,0,0,1,4
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,GenerateRefreshToken,1,18,2,0,0,0,0,1,5
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,Exchange,12,59,4,2,10,0,0,8,25
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,AutoRefreshToken,8,53,6,2,6,0,0,7,18
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,Validate,4,27,1,2,2,0,1,4,4
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,ValidateJwtBearerToken,3,15,4,1,1,0,0,2,3
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,ReadJwtToken,2,9,1,1,1,0,0,2,2
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,SecurityReadJwtToken,1,5,1,0,0,0,0,1,1
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,GetJwtBearerToken,4,8,3,1,1,0,0,2,3
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,GetJWTSettings,4,22,0,1,2,0,0,2,8
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,CreateTokenValidationParameters,1,21,1,0,0,0,0,1,2
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,CombinePayload,8,32,2,1,5,0,0,1,15
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,SetDefaultJwtSettings,5,26,1,1,4,0,0,1,0
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,GetCurrentHttpContext,2,10,0,1,1,0,0,1,2
framework/JNPF.Extras.Authentication.JwtBearer/JWTEncryption.cs,JWTEncryption,GetFrameworkContext,3,16,1,1,1,0,0,2,4
framework/JNPF.Extras.DatabaseAccessor.Dapper/Extensions/DapperServiceCollectionExtensions.cs,DapperServiceCollectionExtensions,AddDapper,2,24,4,1,1,0,0,2,7
framework/JNPF.Extras.DatabaseAccessor.Dapper/Internal/SqlProvider.cs,SqlProvider,GetDbConnectionType,1,27,1,0,0,0,0,2,3
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Query,1,3,6,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Query,1,3,6,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,QueryAsync,1,3,5,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,QueryAsync,1,3,5,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Execute,1,3,5,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,ExecuteAsync,1,3,5,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Change,1,3,0,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Get,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,GetAsync,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,GetAll,1,3,2,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,GetAllAsync,1,3,2,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Insert,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,InsertAsync,1,3,4,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Insert,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,InsertAsync,1,3,4,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Update,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,UpdateAsync,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Update,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,UpdateAsync,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Delete,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,DeleteAsync,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,Delete,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.Dapper/Repositories/DapperRepository.cs,DapperRepository,DeleteAsync,1,3,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/DiffLog/DiffLogCollector.cs,DiffLogCollector,Collect,2,6,1,1,1,0,0,0,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/DiffLog/DiffLogCollector.cs,DiffLogCollector,GetAndClear,2,7,0,1,1,0,0,2,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/DiffLog/NoOpDiffLogPublisher.cs,NoOpDiffLogPublisher,PublishAsync,1,5,1,0,0,0,0,1,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/DiffLog/NoOpEventOutboxStore.cs,NoOpEventOutboxStore,WriteAsync,1,4,2,0,0,0,0,1,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/DiffLog/OutboxDiffLogPublisher.cs,OutboxDiffLogPublisher,PublishAsync,1,3,1,0,0,0,0,0,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/JsonSqlExtFunc.cs,JsonSqlExtFunc,ToObject,1,4,1,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/PagedQueryableExtensions.cs,PagedQueryableExtensions,ToPagedList,1,15,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/PagedQueryableExtensions.cs,PagedQueryableExtensions,ToPagedListAsync,1,15,3,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/PagedQueryableExtensions.cs,PagedQueryableExtensions,ToPagedListAsync,1,15,4,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/SqlSugarServiceCollectionExtensions.cs,SqlSugarServiceCollectionExtensions,AddSqlSugar,1,5,3,0,0,0,0,1,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/SqlSugarServiceCollectionExtensions.cs,SqlSugarServiceCollectionExtensions,AddSqlSugar,1,16,3,0,0,0,0,2,3
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/TenantLinkExtensions.cs,JNPFTenantExtensions,GetLinkToOrdinary,1,19,3,0,0,0,0,1,3
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/TenantLinkExtensions.cs,JNPFTenantExtensions,GetLinkToCustom,3,33,2,2,1,0,0,1,9
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/TenantLinkExtensions.cs,JNPFTenantExtensions,GetConfig,3,33,1,2,1,0,0,2,8
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/TenantLinkExtensions.cs,JNPFTenantExtensions,GetDbConnectionConfig,10,42,4,3,2,6,0,2,6
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/TenantLinkExtensions.cs,JNPFTenantExtensions,ToDbType,8,19,1,1,0,7,0,6,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Extensions/TenantLinkExtensions.cs,JNPFTenantExtensions,ToConnectionString,8,22,1,2,1,6,0,8,9
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Options/ConnectionStringsOptions.cs,ConnectionStringsOptions,GetDomainConnectionConfigs,4,12,0,2,2,0,0,2,7
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Options/ConnectionStringsOptions.cs,ConnectionStringsOptions,PostConfigure,3,18,2,2,1,0,0,0,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarDbContextProvider.cs,SqlSugarDbContextProvider,GetDbContext,9,32,0,2,3,0,0,1,7
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarDbContextProvider.cs,SqlSugarDbContextProvider,ResolveTenantConnection,7,43,0,2,4,0,1,6,12
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarDbContextProvider.cs,SqlSugarDbContextProvider,GetTenantCacheFromMemory,5,27,1,2,3,0,1,4,5
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeUpdateAsync,2,9,1,1,1,0,0,2,7
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeUpdateAsync,2,9,1,1,1,0,0,2,7
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeUpdateAsync,2,10,2,1,1,0,0,2,9
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeUpdateAsync,2,8,2,1,1,0,0,2,8
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeDeleteAsync,2,9,1,1,1,0,0,2,7
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeDeleteAsync,2,8,1,1,1,0,0,2,6
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeDeleteByIdAsync,2,10,1,1,1,0,0,2,9
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeDeleteByIdsAsync,2,10,1,1,1,0,0,2,9
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeInsertAsync,3,5,1,1,1,0,0,1,5
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeInsertAsync,4,12,1,3,2,0,0,1,5
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeInsertReturnSnowflakeIdAsync,3,5,1,1,1,0,0,1,5
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SafeInsertReturnEntityAsync,3,5,1,1,1,0,0,1,5
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,ShouldApplyTenantProtection,5,9,0,1,3,0,0,4,3
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,HasTenantId,3,8,1,1,1,0,0,2,4
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,SetTenantId,4,8,2,1,1,0,0,0,3
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,CombineWithTenantFilter,1,13,2,0,0,0,0,1,7
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,SqlSugarRepository,GetTenantIdColumnName,1,3,0,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/Repositories/SqlSugarRepository.cs,ParameterReplacer,VisitParameter,2,3,1,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/AdminBypassGuard.cs,AdminBypassGuard,IsAdministrator,2,4,0,0,0,0,0,1,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/CacheTenantResolver.cs,CacheTenantResolver,ResolveConnection,9,25,1,1,3,0,0,4,3
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/ClaimTenantResolver.cs,ClaimTenantResolver,ResolveTenantId,1,3,1,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/ColumnIsolationStrategy.cs,ColumnIsolationStrategy,ApplyQueryFilter,3,11,2,1,2,0,0,2,3
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/ColumnIsolationStrategy.cs,ColumnIsolationStrategy,ApplyWriteProtection,1,4,2,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/ColumnIsolationStrategy.cs,ColumnIsolationStrategy,ConfigureConnection,1,9,1,0,0,0,0,1,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/DisposableAction.cs,DisposableAction,Dispose,1,4,0,0,0,0,0,0,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/FallbackTenantResolver.cs,FallbackTenantResolver,ResolveTenantId,6,19,1,1,3,0,0,4,8
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/SchemaIsolationStrategy.cs,SchemaIsolationStrategy,ApplyQueryFilter,1,3,2,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/SchemaIsolationStrategy.cs,SchemaIsolationStrategy,ApplyWriteProtection,1,3,2,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/SchemaIsolationStrategy.cs,SchemaIsolationStrategy,ConfigureConnection,1,15,1,0,0,0,0,1,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,SetTenant,3,8,2,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,ClearCurrent,1,3,0,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,SetFromHttpContext,9,25,1,1,1,0,0,1,6
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,SetExplicit,7,17,2,0,0,0,0,0,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,SetFromEvent,2,7,1,1,1,0,0,1,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,BeginScope,1,5,1,0,0,0,0,1,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,ClearScope,1,3,0,0,0,0,0,0,0
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,IsDefaultTenant,2,3,0,0,0,0,0,1,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,ResolveTenantId,3,9,1,2,1,0,0,2,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,ResolveFromHttpContext,8,20,0,1,2,0,0,3,5
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,GetUserId,2,4,0,0,0,0,0,1,2
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,ResolveConnectionInfo,3,10,1,1,1,0,0,2,4
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantContext.cs,TenantContextImpl,ExtractTenantIdFromPayload,7,27,1,3,4,0,0,3,11
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantInfo.cs,TenantInfo,IsDefaultTenant,2,2,0,0,0,0,0,0,1
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantMiddleware.cs,TenantMiddleware,InvokeAsync,5,35,2,2,2,0,1,1,9
framework/JNPF.Extras.DatabaseAccessor.SqlSugar/TenantContext/TenantMiddleware.cs,TenantMiddleware,IsPublicEndpoint,4,9,1,2,1,0,0,2,1
framework/JNPF.Extras.Logging.Serilog/Extensions/SerilogHostingExtensions.cs,SerilogHostingExtensions,UseSerilogDefault,4,26,2,2,2,0,0,1,9
framework/JNPF.Extras.Logging.Serilog/Extensions/SerilogHostingExtensions.cs,SerilogHostingExtensions,UseSerilogDefault,4,26,2,2,2,0,0,1,9
framework/JNPF.Extras.Logging.Serilog/Extensions/SerilogHostingExtensions.cs,SerilogHostingExtensions,UseSerilogDefault,1,5,2,0,0,0,0,1,1
framework/JNPF.Extras.ObjectMapper.Mapster/Extensions/ObjectMapperServiceCollectionExtensions.cs,ObjectMapperServiceCollectionExtensions,AddObjectMapper,3,23,2,1,1,0,0,1,7
framework/JNPF.Xunit/TestStartup.cs,TestStartup,CreateExecutor,1,3,1,0,0,0,0,1,0
framework/JNPF.Xunit/XunitExtensions/XunitTestAssemblyRunnerWithAssemblyFixture.cs,XunitTestAssemblyRunnerWithAssemblyFixture,AfterTestAssemblyStartingAsync,2,19,0,1,0,0,0,0,6
