table_name,asset_class,status,candidate_module,physical_writer_module,evidence,ruling_ref
"base_file","P6","EXCLUDED_LEGACY_ARCHIVE","","","EV-5 falsification chain (zx_sys_db=stale copy / base_file=P6); do not delete","EV-5 falsification chain (zx_sys_db=stale copy / base_file=P6); do not delete"
"BASE_FOUNDER_AUTH_LOG","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_group","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_im_content","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_im_reply","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_integrate","P0","CONFIRMED_CODE","JNPF.Integration","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_integrate_node","P0","CONFIRMED_CODE","JNPF.Integration","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_integrate_queue","P0","CONFIRMED_CODE","JNPF.Integration","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_integrate_task","P0","CONFIRMED_CODE","JNPF.Integration","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_IR_EDIT_PATCH","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_IR_VERSION","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_KNOWLEDGE_EDGE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_KNOWLEDGE_NODE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_KNOWLEDGE_RULE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_MENU_BADGE","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_message","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_module","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_module_authorize","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_module_button","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_module_column","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_module_form","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_module_link","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_module_scheme","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_msg_account","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_monitor","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_send","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_send_template","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_short_link","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_sms_field","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_template","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_template_param","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_msg_wechat_user","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_notice","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_organize","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_organize_administrator","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_organize_relation","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_permission_group","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_portal","P0","CONFIRMED_CODE","JNPF.LowCodeAuthoring","modularity/visualdev","SugarTable entity: modularity/visualdev","ruling 2026-08-26"
"base_portal_data","P0","CONFIRMED_CODE","JNPF.LowCodeAuthoring","modularity/visualdev","SugarTable entity: modularity/visualdev","ruling 2026-08-26"
"base_portal_manage","P0","CONFIRMED_CODE","JNPF.LowCodeAuthoring","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_position","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_print_log","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_print_template","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_province","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_province_atlas","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"BASE_REPORT","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/report","SugarTable entity: modularity/report","ruling 2026-08-26"
"base_role","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_schedule","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_schedule_log","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_schedule_user","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_sign_img","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_signature","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_signature_user","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_socials_users","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"BASE_STUDIO_MENU","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_syn_third_info","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_sys_config","P0","CONFIRMED_CODE","JNPF.PlatformConfig","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_sys_log","P0","CONFIRMED_CODE","JNPF.PlatformLogs","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_system","P0","CONFIRMED_CODE","JNPF.PlatformConfig","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_time_task","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/taskscheduler","SugarTable entity: modularity/taskscheduler","ruling 2026-08-26"
"base_time_task_log","P0","CONFIRMED_CODE","JNPF.Scheduling","modularity/taskscheduler","SugarTable entity: modularity/taskscheduler","ruling 2026-08-26"
"base_user","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_user_device","P0","CONFIRMED_CODE","JNPF.Messaging","modularity/message","SugarTable entity: modularity/message","ruling 2026-08-26"
"base_user_old_password","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_user_relation","P0","CONFIRMED_CODE","JNPF.Identity","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_visual_dev","P0","CONFIRMED_CODE","JNPF.LowCodeAuthoring","modularity/visualdev","SugarTable entity: modularity/visualdev","ruling 2026-08-26"
"base_visual_filter","PX","UNKNOWN_NO_CODE_REF","","","init SQL only; zero code reference; suspected legacy report leftovers [INFERRED, unverified]",""
"base_visual_link","P0","CONFIRMED_CODE","JNPF.LowCodeAuthoring","modularity/visualdev","SugarTable entity: modularity/visualdev","ruling 2026-08-26"
"base_visual_release","P0","CONFIRMED_CODE","JNPF.LowCodeAuthoring","modularity/visualdev","SugarTable entity: modularity/visualdev","ruling 2026-08-26"
"blade_visual","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_category","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_component","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_config","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_db","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_glob","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_map","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"blade_visual_record","P0","CONFIRMED_CODE","JNPF.Reporting","modularity/visualdata","SugarTable entity: modularity/visualdata","ruling 2026-08-26"
"data_report","P6-PENDING","SOURCE_UNKNOWN_PENDING","","","no code ref; do not delete (ban #6)","no code ref; do not delete (ban #6)"
"Demo_ExcelTest","P3","EXCLUDED_DEMO","","","seed demo data",""
"Demo_Order","P3","EXCLUDED_DEMO","","","seed demo data",""
"Demo_OrderDetail","P3","EXCLUDED_DEMO","","","seed demo data",""
"EVAL_METRIC","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ext_big_data","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_customer","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_document","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_document_share","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_email_config","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_email_receive","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_email_send","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_employee","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_order","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_order_entry","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_order_receivable","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_product","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_product_classify","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_product_entry","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_product_goods","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_project_gantt","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_table_example","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_work_log","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"ext_work_log_share","P3","EXCLUDED_DEMO","","modularity/extend","SugarTable entity: modularity/extend","EV-5 falsification chain"
"flow_candidates","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_comment","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_delegate","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_event_log","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_form","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_form_authorize","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_form_relation","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_launch_user","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_reject_data","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_task","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_task_circulate","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_task_node","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_task_operator","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_task_operator_record","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_task_operator_user","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_template","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_template_json","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"flow_visible","P0","CONFIRMED_CODE","JNPF.Workflow","modularity/workflow","SugarTable entity: modularity/workflow","ruling 2026-08-26"
"inte_assistant_attachment","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"inte_assistant_deliverable","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"JobDetails","FRAMEWORK","FRAMEWORK_PRIVATE_QUARTZ","","modularity/taskscheduler","SugarTable entity: modularity/taskscheduler","NDH-08"
"JobTriggers","FRAMEWORK","FRAMEWORK_PRIVATE_QUARTZ","","modularity/taskscheduler","SugarTable entity: modularity/taskscheduler","NDH-08"
"mt543406707183714245","P0-DYNAMIC","DYNAMIC_RUNTIME","","","MT* dynamic form table sample","MT* dynamic form table sample"
"mt543408365615710149","P0-DYNAMIC","DYNAMIC_RUNTIME","","","MT* dynamic form table sample","MT* dynamic form table sample"
"mt543552698159464389","P0-DYNAMIC","DYNAMIC_RUNTIME","","","MT* dynamic form table sample","MT* dynamic form table sample"
"mt543668771097673669","P0-DYNAMIC","DYNAMIC_RUNTIME","","","MT* dynamic form table sample","MT* dynamic form table sample"
"mt543971603646513093","P0-DYNAMIC","DYNAMIC_RUNTIME","","","MT* dynamic form table sample","MT* dynamic form table sample"
"report_charts","PX","UNKNOWN_NO_CODE_REF","","","init SQL only; zero code reference; suspected legacy report leftovers [INFERRED, unverified]",""
"report_department","PX","UNKNOWN_NO_CODE_REF","","","init SQL only; zero code reference; suspected legacy report leftovers [INFERRED, unverified]",""
"report_user","PX","UNKNOWN_NO_CODE_REF","","","init SQL only; zero code reference; suspected legacy report leftovers [INFERRED, unverified]",""
"student","P3","EXCLUDED_DEMO","","","seed demo data",""
"SYS_DIFF_LOG","P0?","UNKNOWN_SEMANTICS","","modularity/common","SugarTable entity: modularity/common",""
"SYS_EVENT_OUTBOX_MESSAGE","P0","CONFIRMED_CODE","JNPF.Messaging","infrastructure/JNPF.Extras.EventBus.Outbox","SugarTable entity: infrastructure/JNPF.Extras.EventBus.Outbox","ruling 2026-08-26"
"SYS_PROCESSED_EVENT","P0","CONFIRMED_CODE","JNPF.Messaging","infrastructure/JNPF.Extras.EventBus.Outbox","SugarTable entity: infrastructure/JNPF.Extras.EventBus.Outbox","ruling 2026-08-26"
"undo_log","P6-PENDING","SOURCE_UNKNOWN_PENDING","","","no code ref; do not delete (ban #6)","no code ref; do not delete (ban #6)"
"wform_applybanquet","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_applydelivergoods","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_applydelivergoodsentry","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_applymeeting","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_archivalborrow","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_articleswarehous","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_batchpack","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_batchtable","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_conbilling","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_contractapproval","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_contractapprovalsheet","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_debitbill","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_documentapproval","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_documentsigning","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_expenseexpenditure","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_finishedproduct","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_finishedproductentry","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_incomerecognition","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_leaveapply","P2","EXCLUDED_TEMPLATE","","modularity/workflow","SugarTable entity: modularity/workflow","EV-5 falsification chain"
"wform_letterservice","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_materialrequisition","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_materialrequisitionentry","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_monthlyreport","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_officesupplies","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_outboundorder","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_outboundorderentry","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
"wform_outgoingapply","P2","EXCLUDED_TEMPLATE","","","EV-5 falsification chain","EV-5 falsification chain"
