table_name,rows,cols,tenant_style,pk_type,entity_mapped,in_init_script,code_refs,product_asset_class,platform_role,asset_lifecycle,evidence
base_dictionary_data,897,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_dictionary_type,145,19,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_file,0,16,f_tenant_id,nvarchar,N,Y,0,P6_LEGACY,LEGACY,LEGACY,no-entity; init:ZXAFINIT.sql; code-refs:0; zero-business-refs
BASE_FOUNDER_AUTH_LOG,13,16,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_group,1,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_im_content,9,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_im_reply,2,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_integrate,3,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_integrate_node,0,26,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_integrate_queue,0,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_integrate_task,0,23,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_IR_EDIT_PATCH,0,17,F_TENANT_ID,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_IR_VERSION,0,21,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_KNOWLEDGE_EDGE,0,16,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_KNOWLEDGE_NODE,0,15,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_KNOWLEDGE_RULE,0,16,F_TenantId,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_MENU_BADGE,0,8,F_TenantId,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_message,1229,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module,210,28,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module_authorize,8,24,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module_button,34,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module_column,6,22,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module_form,6,21,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module_link,2,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_module_scheme,8,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_account,4,39,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_monitor,147,21,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_send,24,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_send_template,23,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_short_link,0,21,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_sms_field,0,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_template,26,23,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_template_param,78,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_msg_wechat_user,0,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_notice,3,22,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_organize,6,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_organize_administrator,5,25,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_organize_relation,0,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_permission_group,5,16,F_Tenant_Id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_portal,2,24,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_portal_data,9,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_portal_manage,2,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_position,2,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_print_log,21,14,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_print_template,5,25,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_province,47512,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_province_atlas,3210,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_REPORT,5,14,NONE,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
base_role,9,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_SANDBOX,0,22,F_TenantId,bigint,N,Y,3,P0_PLATFORM_CORE,CORE,MANDATORY,no-entity; init:ZXAFINIT.sql; code-refs:3
base_schedule,0,33,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_schedule_log,0,35,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_schedule_user,0,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_sign_img,0,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_signature,0,16,f_tenant_id,NONE,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_signature_user,0,15,f_tenant_id,NONE,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_socials_users,0,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_STUDIO_MENU,54,19,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_STUDIO_MENU_BAK_20260617,54,19,NONE,NONE,N,Y,0,P6_LEGACY,LEGACY,LEGACY,no-entity; init:ZXAFINIT.sql; code-refs:0; zero-business-refs
base_syn_third_info,0,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_sys_config,74,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_sys_log,12615,32,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_system,7,23,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_TENANT_GLOSSARY,0,13,F_TenantId,bigint,N,Y,0,PX_UNKNOWN,UNKNOWN,UNKNOWN,no-entity; init:ZXAFINIT.sql; code-refs:0
BASE_TENANT_INDUSTRY,0,12,F_TenantId,bigint,N,Y,0,PX_UNKNOWN,UNKNOWN,UNKNOWN,no-entity; init:ZXAFINIT.sql; code-refs:0
base_time_task,0,21,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_time_task_log,22,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_user,45,68,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_user_device,0,14,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_user_old_password,0,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_user_relation,82,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_visual_dev,48,30,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_visual_filter,0,14,f_tenant_id,nvarchar,N,Y,0,P7_ORPHAN,LEGACY,ORPHAN,no-entity; init:ZXAFINIT.sql; code-refs:0; zero-business-refs
base_visual_link,0,26,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_visual_release,25,29,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual,77,14,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_category,2,6,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_component,42,7,f_tenant_id,bigint,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_config,77,6,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_db,4,16,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_glob,0,6,f_tenant_id,NONE,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_map,3,5,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
blade_visual_record,3,19,f_tenant_id,nvarchar,Y,Y,,P1_LOWCODE_RUNTIME,RUNTIME,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
data_report,15,16,f_tenant_id,nvarchar,N,Y,0,PX_UNKNOWN,UNKNOWN,UNKNOWN,no-entity; init:ZXAFINIT.sql; code-refs:0
Demo_ExcelTest,3,14,NONE,varchar,N,Y,0,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,no-entity; init:ZXAFINIT.sql; code-refs:0
Demo_Order,151,15,NONE,varchar,N,Y,0,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,no-entity; init:ZXAFINIT.sql; code-refs:0
Demo_OrderDetail,60,9,NONE,varchar,N,Y,0,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,no-entity; init:ZXAFINIT.sql; code-refs:0
domain_model,0,15,NONE,bigint,N,Y,0,P6_LEGACY,LEGACY,LEGACY,no-entity; init:ZXAFINIT.sql; code-refs:0; zero-business-refs
EVAL_METRIC,0,13,F_TENANT_ID,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
ext_big_data,0,12,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_customer,7,16,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_document,4,22,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_document_share,0,13,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_email_config,1,21,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_email_receive,0,23,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_email_send,0,22,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_employee,0,26,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_order,9,30,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_order_entry,6,24,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_order_receivable,1,19,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_product,3,38,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_product_classify,6,12,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_product_entry,12,23,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_product_goods,10,18,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_project_gantt,0,24,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_table_example,33,28,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_work_log,0,17,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
ext_work_log_share,0,13,f_tenant_id,nvarchar,Y,Y,,P3_DEMO_APPLICATION,PRODUCT_CONTENT,DEMO,entity:SugarTable; init:ZXAFINIT.sql; 12-services:JNPF.Extend;P2-template-candidate
flow_candidates,0,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_comment,0,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_delegate,0,23,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_event_log,24,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_form,4,27,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_form_authorize,0,14,f_tenant_id,NONE,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_form_relation,1,13,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_launch_user,16,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_reject_data,0,14,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_task,16,41,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_task_circulate,0,17,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_task_node,45,24,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_task_operator,555,28,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
flow_task_operator_record,15,26,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
