"table_name","asset_class","db_rows","writer_modules","writer_count","reader_count","inbound_fks","api_exposed","log_class","score","status"
"base_sign_img","P0_PLATFORM_CORE","0","system","1","1","0","1","0","3","ELIGIBLE"
"base_schedule_user","P0_PLATFORM_CORE","0","system","1","1","0","1","0","3","ELIGIBLE"
"base_schedule","P0_PLATFORM_CORE","0","system","1","1","0","1","0","3","ELIGIBLE"
"BASE_SANDBOX","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"flow_task_operator_user","P0_PLATFORM_CORE","0","workflow","1","1","0","1","0","3","ELIGIBLE"
"flow_form_authorize","P0_PLATFORM_CORE","0","workflow","1","1","0","1","0","3","ELIGIBLE"
"base_user_old_password","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"flow_reject_data","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"base_syn_third_info","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"zx_system_db","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"BASE_KNOWLEDGE_EDGE","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"base_app_data","P0_PLATFORM_CORE","0","system","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_UI_TEMPLATE","P0_PLATFORM_CORE","0","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_SKILL_REVIEW","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"base_integrate_node","P0_PLATFORM_CORE","0","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_IR_VERSION","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"BASE_KNOWLEDGE_NODE","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"BASE_KNOWLEDGE_RULE","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"BASE_MENU_BADGE","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_MCP_CONFIG","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_AGENT_SKILL","P0_PLATFORM_CORE","0","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_EVAL_RUN","P0_PLATFORM_CORE","0","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"base_common_words","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"base_msg_short_link","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"base_msg_sms_field","P0_PLATFORM_CORE","0","message","1","1","0","1","0","3","ELIGIBLE"
"base_msg_wechat_user","P0_PLATFORM_CORE","0","","1","1","0","1","0","3","ELIGIBLE"
"base_im_content","P0_PLATFORM_CORE","9","common","1","2","0","1","0","4","ELIGIBLE"
"base_module_authorize","P0_PLATFORM_CORE","8","system","1","2","0","1","0","4","ELIGIBLE"
"ai_ir_fragment_snapshots","P0_PLATFORM_CORE","782","inteAssistant","1","2","0","1","0","4","ELIGIBLE"
"base_module_form","P0_PLATFORM_CORE","6","system","1","2","0","1","0","4","ELIGIBLE"
"base_module_column","P0_PLATFORM_CORE","6","system","1","2","0","1","0","4","ELIGIBLE"
"ai_ir_events","P0_PLATFORM_CORE","3780","other","1","2","0","1","0","4","ELIGIBLE"
"base_module_button","P0_PLATFORM_CORE","34","system","1","2","0","1","0","4","ELIGIBLE"
"base_notice","P0_PLATFORM_CORE","3","","1","2","0","1","0","4","ELIGIBLE"
"base_visual_release","P1_LOWCODE_RUNTIME","25","","1","2","0","1","0","4","ELIGIBLE"
"base_portal_manage","P0_PLATFORM_CORE","2","","1","2","0","1","0","4","ELIGIBLE"
"flow_task_operator_record","P0_PLATFORM_CORE","15","workflow","1","2","0","1","0","4","ELIGIBLE"
"base_data_interface","P0_PLATFORM_CORE","146","","1","2","0","1","0","4","ELIGIBLE"
"flow_delegate","P0_PLATFORM_CORE","0","","1","2","0","1","0","4","ELIGIBLE"
"base_socials_users","P0_PLATFORM_CORE","0","","1","2","0","1","0","4","ELIGIBLE"
"SYS_EVENT_OUTBOX_MESSAGE","P0_PLATFORM_CORE","0","infrastructure","1","2","0","1","0","4","ELIGIBLE"
"base_module_scheme","P0_PLATFORM_CORE","8","system","1","3","0","1","0","5","ELIGIBLE"
"base_permission_group","P0_PLATFORM_CORE","5","","1","3","0","1","0","5","ELIGIBLE"
"base_organize_administrator","P0_PLATFORM_CORE","5","system","1","3","0","1","0","5","ELIGIBLE"
"base_dictionary_type","P0_PLATFORM_CORE","145","","1","3","0","1","0","5","ELIGIBLE"
"base_message","P0_PLATFORM_CORE","1229","message","1","3","0","1","0","5","ELIGIBLE"
"base_organize_relation","P0_PLATFORM_CORE","0","system","1","3","0","1","0","5","ELIGIBLE"
"base_dictionary_data","P0_PLATFORM_CORE","897","","1","4","0","1","0","6","ELIGIBLE"
"base_sys_config","P0_PLATFORM_CORE","74","","1","4","0","1","0","6","ELIGIBLE"
"base_visual_dev","P1_LOWCODE_RUNTIME","48","visualdev","1","4","0","1","0","6","ELIGIBLE"
"base_province","P0_PLATFORM_CORE","47512","","1","4","0","1","0","6","ELIGIBLE"
"base_position","P0_PLATFORM_CORE","2","system","1","4","0","1","0","6","ELIGIBLE"
"base_db_link","P0_PLATFORM_CORE","1","","1","4","0","1","0","6","ELIGIBLE"
"base_group","P0_PLATFORM_CORE","1","system","1","4","0","1","0","6","ELIGIBLE"
"base_user_relation","P0_PLATFORM_CORE","82","","1","5","0","1","0","7","ELIGIBLE"
"base_system","P0_PLATFORM_CORE","7","","1","5","0","1","0","7","ELIGIBLE"
"base_organize","P0_PLATFORM_CORE","6","system","1","5","0","1","0","7","ELIGIBLE"
"base_authorize","P0_PLATFORM_CORE","2553","","1","5","0","1","0","7","ELIGIBLE"
"flow_task","P0_PLATFORM_CORE","16","","1","5","0","1","0","7","ELIGIBLE"
"base_role","P0_PLATFORM_CORE","9","system","1","6","0","1","0","8","ELIGIBLE"
"base_module","P0_PLATFORM_CORE","210","","1","6","0","1","0","8","ELIGIBLE"
"flow_form_relation","P0_PLATFORM_CORE","1","visualdev|workflow","2","1","0","1","0","3","MULTI_WRITER"
"base_integrate_queue","P0_PLATFORM_CORE","0","common|inteAssistant","2","1","0","1","0","3","MULTI_WRITER"
"ai_entity_field","P0_PLATFORM_CORE","824","inteAssistant|other","2","2","0","1","0","4","MULTI_WRITER"
"flow_form","P0_PLATFORM_CORE","4","visualdev|workflow","2","2","0","1","0","4","MULTI_WRITER"
"flow_template","P0_PLATFORM_CORE","6","visualdev|workflow","2","3","0","1","0","5","MULTI_WRITER"
"flow_template_json","P0_PLATFORM_CORE","3","visualdev|workflow","2","4","0","1","0","6","MULTI_WRITER"
"base_user","P0_PLATFORM_CORE","45","common|oauth|system|visualdev","4","10","0","1","0","12","MULTI_WRITER"
