table_name,prefix,db_rows,db_cols,pk_type,creation_source,creation_pos,mechanism,code_owner,entity_mapped,write_owner,read_consumers,saservice_refs,api_exposed,ui_menu,template,seed_inserts,demo,runtime_required,startup_impact,product_deliverable,asset_class,platform_role,asset_lifecycle,score,provenance
BASE_AI_EVAL_CASE,BASE,4,13,bigint,DB/ZXAFINIT.sql,byte@36684,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_EVAL_GOLDEN_SET,BASE,1,11,bigint,DB/ZXAFINIT.sql,byte@38452,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_EVAL_RUN,BASE,0,20,bigint,DB/ZXAFINIT.sql,byte@40026,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_GENERATED_PROJECT,BASE,328,25,bigint,DB/ZXAFINIT.sql,byte@41668,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_MCP_CONFIG,BASE,0,15,bigint,DB/ZXAFINIT.sql,byte@44424,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_MODEL_PROVIDER,BASE,5,20,bigint,DB/ZXAFINIT.sql,byte@46402,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_MODEL_ROUTING,BASE,5,16,bigint,DB/ZXAFINIT.sql,byte@48738,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_PIPELINE,BASE,409,38,nvarchar,DB/ZXAFINIT.sql,byte@50684,INIT_SQL,system,Y,inteAssistant,inteAssistant,0,Y,,,54,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_PIPELINE_MESSAGE,BASE,678,20,nvarchar,DB/ZXAFINIT.sql,byte@53516,INIT_SQL,system,Y,inteAssistant,inteAssistant,0,Y,,,126,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_PIPELINE_S2_PROGRESS,BASE,3,20,nvarchar,backend/modularity/inteAssistant/Migrations/20260718_S2_Progress.sql,L9,MIGRATION,system,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_PIPELINE_STAGE_CONFIG,BASE,5,15,bigint,DB/ZXAFINIT.sql,byte@55672,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_PROMPT_TEMPLATE,BASE,0,12,bigint,DB/ZXAFINIT.sql,byte@57548,INIT_SQL,system,Y,,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_SKILL_REVIEW,BASE,0,14,bigint,backend/modularity/inteAssistant/Migrations/20260708_Phase7_Skill_Reviews.sql,L23,MIGRATION,system,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_UI_TEMPLATE,BASE,0,18,bigint,DB/ZXAFINIT.sql,byte@59280,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_API_LOG,base,39,38,nvarchar,DB/ZXAFINIT.sql,byte@61404,INIT_SQL,system,Y,system,,0,Y,,,39,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_APP_DATA,base,0,20,nvarchar,DB/ZXAFINIT.sql,byte@65090,INIT_SQL,app,Y,system,system,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AUTHORIZE,base,2553,16,nvarchar,DB/ZXAFINIT.sql,byte@67538,INIT_SQL,system,Y,,app;common;oauth;system;visualdev,0,Y,,,2553,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_BILL_RULE,base,61,27,nvarchar,DB/ZXAFINIT.sql,byte@69636,INIT_SQL,system,Y,system,,0,Y,,,61,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_COLUMNS_PURVIEW,base,1,14,nvarchar,DB/ZXAFINIT.sql,byte@72476,INIT_SQL,system,Y,,system,0,Y,,,1,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_COMMON_FIELDS,base,10,18,nvarchar,DB/ZXAFINIT.sql,byte@74496,INIT_SQL,system,Y,,,0,Y,,,10,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_COMMON_WORDS,base,0,15,nvarchar,DB/ZXAFINIT.sql,byte@76744,INIT_SQL,system,Y,,system,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DATA_INTERFACE,base,146,27,nvarchar,DB/ZXAFINIT.sql,byte@78808,INIT_SQL,system,Y,,system;visualdev,0,Y,,,146,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DATA_INTERFACE_LOG,base,0,19,nvarchar,DB/ZXAFINIT.sql,byte@81840,INIT_SQL,system,Y,,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DATA_INTERFACE_OAUTH,base,1,21,nvarchar,DB/ZXAFINIT.sql,byte@84218,INIT_SQL,system,Y,system,system,0,Y,,,1,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DATA_INTERFACE_USER,base,1,14,nvarchar,DB/ZXAFINIT.sql,byte@86822,INIT_SQL,system,Y,system,system,0,Y,,,1,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DATA_INTERFACE_VARIATE,base,1,15,nvarchar,DB/ZXAFINIT.sql,byte@88822,INIT_SQL,system,Y,,system,0,Y,,,1,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DB_LINK,base,1,23,nvarchar,DB/ZXAFINIT.sql,byte@90940,INIT_SQL,system,Y,,codegen;system;workflow;zxdev,0,Y,,,1,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DICTIONARY_DATA,base,897,20,nvarchar,DB/ZXAFINIT.sql,byte@93548,INIT_SQL,system,Y,,codegen;report;system;visualdev,0,Y,,,897,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_DICTIONARY_TYPE,base,145,19,nvarchar,DB/ZXAFINIT.sql,byte@95974,INIT_SQL,system,Y,,message;system;visualdev,0,Y,,,145,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_FILE,base,0,16,nvarchar,DB/ZXAFINIT.sql,byte@98238,INIT_SQL,system,N,,,0,,,,0,,N,REMOVABLE*,N,P6_LEGACY,LEGACY,LEGACY,2,PARTIAL
BASE_FOUNDER_AUTH_LOG,BASE,13,16,nvarchar,DB/ZXAFINIT.sql,byte@100346,INIT_SQL,system,Y,,,0,Y,,,13,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_GROUP,base,1,15,nvarchar,DB/ZXAFINIT.sql,byte@102370,INIT_SQL,system,Y,system,common;engine;system;visualdev,0,Y,,,1,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_IM_CONTENT,base,9,18,nvarchar,DB/ZXAFINIT.sql,byte@104386,INIT_SQL,message,Y,common,common;message,0,Y,,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_IM_REPLY,base,2,15,nvarchar,DB/ZXAFINIT.sql,byte@106690,INIT_SQL,message,Y,,common,0,Y,,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_INTEGRATE,base,3,20,nvarchar,DB/ZXAFINIT.sql,byte@108656,INIT_SQL,system,Y,,inteAssistant,0,Y,,,3,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_INTEGRATE_NODE,base,0,26,nvarchar,DB/ZXAFINIT.sql,byte@111062,INIT_SQL,system,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_INTEGRATE_QUEUE,base,0,17,nvarchar,DB/ZXAFINIT.sql,byte@113942,INIT_SQL,system,Y,common;inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_INTEGRATE_TASK,base,0,23,nvarchar,DB/ZXAFINIT.sql,byte@116128,INIT_SQL,system,Y,inteAssistant,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_IR_EDIT_PATCH,BASE,0,17,bigint,DB/ZXAFINIT.sql,byte@118778,INIT_SQL,system,Y,,,0,,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,3,PARTIAL
BASE_IR_VERSION,BASE,0,21,nvarchar,DB/ZXAFINIT.sql,byte@120888,INIT_SQL,system,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_KNOWLEDGE_EDGE,BASE,0,16,nvarchar,DB/ZXAFINIT.sql,byte@123272,INIT_SQL,system,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_KNOWLEDGE_NODE,BASE,0,15,nvarchar,DB/ZXAFINIT.sql,byte@125384,INIT_SQL,system,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_KNOWLEDGE_RULE,BASE,0,16,bigint,DB/ZXAFINIT.sql,byte@127370,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MENU_BADGE,BASE,0,8,bigint,DB/ZXAFINIT.sql,byte@129368,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MESSAGE,base,1229,20,nvarchar,DB/ZXAFINIT.sql,byte@130774,INIT_SQL,message,Y,message,common;message;visualdev,0,Y,,,1229,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MODULE,base,210,28,nvarchar,DB/ZXAFINIT.sql,byte@133104,INIT_SQL,system,Y,,app;common;extend;oauth;system;visualdev,0,Y,Y,,210,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MODULE_AUTHORIZE,base,8,24,nvarchar,DB/ZXAFINIT.sql,byte@136132,INIT_SQL,system,Y,system,system;visualdev,0,Y,Y,,8,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MODULE_BUTTON,base,34,20,nvarchar,DB/ZXAFINIT.sql,byte@138916,INIT_SQL,system,Y,system,system;visualdev,0,Y,Y,,34,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MODULE_COLUMN,base,6,22,nvarchar,DB/ZXAFINIT.sql,byte@141386,INIT_SQL,system,Y,system,system;visualdev,0,Y,Y,,6,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MODULE_FORM,base,6,21,nvarchar,DB/ZXAFINIT.sql,byte@144012,INIT_SQL,system,Y,system,system;visualdev,0,Y,Y,,6,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MODULE_LINK,base,2,15,nvarchar,DB/ZXAFINIT.sql,byte@146548,INIT_SQL,system,Y,,,0,Y,Y,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MODULE_SCHEME,base,8,20,nvarchar,DB/ZXAFINIT.sql,byte@148570,INIT_SQL,system,Y,system,common;system;visualdev,0,Y,Y,,8,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,6,PROVEN
BASE_MSG_ACCOUNT,base,4,39,nvarchar,DB/ZXAFINIT.sql,byte@151036,INIT_SQL,message,Y,,message,0,Y,,,4,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_MONITOR,base,147,21,nvarchar,DB/ZXAFINIT.sql,byte@154806,INIT_SQL,message,Y,,message,0,Y,,,147,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_SEND,base,24,17,nvarchar,DB/ZXAFINIT.sql,byte@157376,INIT_SQL,message,Y,,message,0,Y,,,24,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_SEND_TEMPLATE,base,23,17,nvarchar,DB/ZXAFINIT.sql,byte@159586,INIT_SQL,message,Y,message,message,0,Y,,,23,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_SHORT_LINK,base,0,21,nvarchar,DB/ZXAFINIT.sql,byte@161826,INIT_SQL,message,Y,,message,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_SMS_FIELD,base,0,17,nvarchar,DB/ZXAFINIT.sql,byte@164318,INIT_SQL,message,Y,message,message,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_TEMPLATE,base,26,23,nvarchar,DB/ZXAFINIT.sql,byte@166478,INIT_SQL,message,Y,,message,0,Y,,,26,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_TEMPLATE_PARAM,base,78,15,nvarchar,DB/ZXAFINIT.sql,byte@169190,INIT_SQL,message,Y,message,message,0,Y,,,78,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_MSG_WECHAT_USER,base,0,16,nvarchar,DB/ZXAFINIT.sql,byte@171242,INIT_SQL,message,Y,,message,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_NOTICE,base,3,22,nvarchar,DB/ZXAFINIT.sql,byte@173316,INIT_SQL,message,Y,,message;visualdev,0,Y,,,3,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_ORGANIZE,base,6,20,nvarchar,DB/ZXAFINIT.sql,byte@175888,INIT_SQL,system,Y,system,common;engine;system;visualdev;workflow,0,Y,,,6,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_ORGANIZE_ADMINISTRATOR,base,5,25,nvarchar,DB/ZXAFINIT.sql,byte@178384,INIT_SQL,system,Y,system,common;oauth;system,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_ORGANIZE_RELATION,base,0,15,nvarchar,DB/ZXAFINIT.sql,byte@181170,INIT_SQL,system,Y,system,common;system;visualdev,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PERMISSION_GROUP,base,5,16,nvarchar,DB/ZXAFINIT.sql,byte@183232,INIT_SQL,system,Y,,common;system;visualdev,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PORTAL,base,2,24,nvarchar,DB/ZXAFINIT.sql,byte@185358,INIT_SQL,visualdev,Y,system,system,0,Y,,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PORTAL_DATA,base,9,16,nvarchar,DB/ZXAFINIT.sql,byte@187984,INIT_SQL,visualdev,Y,visualdev,visualdev,0,Y,,,9,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PORTAL_MANAGE,base,2,16,nvarchar,DB/ZXAFINIT.sql,byte@190142,INIT_SQL,system,Y,,system;visualdev,0,Y,,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_POSITION,base,2,18,nvarchar,DB/ZXAFINIT.sql,byte@192266,INIT_SQL,system,Y,system,common;engine;system;visualdev,0,Y,,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PRINT_LOG,base,21,14,nvarchar,DB/ZXAFINIT.sql,byte@194566,INIT_SQL,system,Y,,,0,Y,,,21,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PRINT_TEMPLATE,base,5,25,nvarchar,DB/ZXAFINIT.sql,byte@196524,INIT_SQL,system,Y,,,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PROVINCE,base,47512,18,nvarchar,DB/ZXAFINIT.sql,byte@199400,INIT_SQL,system,Y,,common;engine;extend;visualdev,0,Y,,,47518,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_PROVINCE_ATLAS,base,3210,20,nvarchar,DB/ZXAFINIT.sql,byte@201656,INIT_SQL,system,Y,,,0,Y,,,3210,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_REPORT,BASE,5,14,nvarchar,backend/modularity/report/init_report.sql,L11,MODULE_INIT,report,Y,report,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_ROLE,base,9,18,nvarchar,DB/ZXAFINIT.sql,byte@204066,INIT_SQL,system,Y,system,common;engine;inteAssistant;oauth;system;visualdev,0,Y,,,9,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SANDBOX,BASE,0,22,bigint,backend/sql/V5.2_002_sprint1_5_patch.sql,L14,MIGRATION,system,N,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,4,PARTIAL
BASE_SCHEDULE,base,0,33,nvarchar,DB/ZXAFINIT.sql,byte@208778,INIT_SQL,system,Y,system,system,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SCHEDULE_LOG,base,0,35,nvarchar,DB/ZXAFINIT.sql,byte@212056,INIT_SQL,system,Y,system,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SCHEDULE_USER,base,0,16,nvarchar,DB/ZXAFINIT.sql,byte@215508,INIT_SQL,system,Y,system,system,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SIGN_IMG,base,0,15,nvarchar,DB/ZXAFINIT.sql,byte@217596,INIT_SQL,system,Y,system,system,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SIGNATURE,base,0,16,NONE,DB/ZXAFINIT.sql,byte@219654,INIT_SQL,system,Y,,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SIGNATURE_USER,base,0,15,NONE,DB/ZXAFINIT.sql,byte@221294,INIT_SQL,system,Y,system,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SOCIALS_USERS,base,0,15,nvarchar,DB/ZXAFINIT.sql,byte@222832,INIT_SQL,system,Y,,message;oauth,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_STUDIO_MENU,BASE,54,19,bigint,DB/ZXAFINIT.sql,byte@224888,INIT_SQL,inteAssistant,Y,,inteAssistant,0,Y,,,54,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_STUDIO_MENU_BAK_20260617,BASE,54,19,NONE,DB/ZXAFINIT.sql,byte@227110,INIT_SQL,system,N,,,0,,,,54,,N,REMOVABLE*,N,P6_LEGACY,LEGACY,LEGACY,2,PARTIAL
BASE_SYN_THIRD_INFO,base,0,17,nvarchar,DB/ZXAFINIT.sql,byte@228916,INIT_SQL,system,Y,,message,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SYS_CONFIG,base,74,17,nvarchar,DB/ZXAFINIT.sql,byte@231080,INIT_SQL,system,Y,,app;common;oauth;system,0,Y,,,74,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SYS_LOG,base,12615,32,nvarchar,DB/ZXAFINIT.sql,byte@233262,INIT_SQL,system,Y,,system,0,Y,,,12615,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_SYSTEM,base,7,23,nvarchar,DB/ZXAFINIT.sql,byte@236550,INIT_SQL,system,Y,,common;oauth;system;visualdev;zxdev,0,Y,,,7,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_TENANT_GLOSSARY,BASE,0,13,bigint,DB/ZXAFINIT.sql,byte@239220,INIT_SQL,system,N,,,0,,,,0,,N,REMOVABLE*,N,PX_UNKNOWN,UNKNOWN,UNKNOWN,2,PARTIAL
BASE_TENANT_INDUSTRY,BASE,0,12,bigint,DB/ZXAFINIT.sql,byte@240994,INIT_SQL,system,N,,,0,,,,0,,N,REMOVABLE*,N,PX_UNKNOWN,UNKNOWN,UNKNOWN,2,PARTIAL
BASE_TIME_TASK,base,0,21,nvarchar,DB/ZXAFINIT.sql,byte@242752,INIT_SQL,taskscheduler,Y,,,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_TIME_TASK_LOG,base,22,16,nvarchar,DB/ZXAFINIT.sql,byte@245284,INIT_SQL,taskscheduler,Y,,taskscheduler,0,Y,,,22,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
