service_class	module	file
SkillReviewApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillReviewApiService.cs
StudioFounderAuthService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioFounderAuthService.cs
StudioMenuService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioMenuService.cs
StudioUsageService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioUsageService.cs
TenantGlossaryService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\TenantGlossaryService.cs
TenantIndustryService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\TenantIndustryService.cs
UiTemplateService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\UiTemplateService.cs
SkillRegistryCheckApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\VisualDev\SkillRegistryCheckApiService.cs
VisualDevMapperApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\VisualDev\VisualDevMapperApiService.cs
ImReplyService	message	backend\modularity\message\JNPF.Message\Service\ImReplyService.cs
MessageAccountService	message	backend\modularity\message\JNPF.Message\Service\MessageAccountService.cs
MessageMonitorService	message	backend\modularity\message\JNPF.Message\Service\MessageMonitorService.cs
MessageService	message	backend\modularity\message\JNPF.Message\Service\MessageService.cs
MessageTemplateService	message	backend\modularity\message\JNPF.Message\Service\MessageTemplateService.cs
NoticeService	message	backend\modularity\message\JNPF.Message\Service\NoticeService.cs
SendMessageService	message	backend\modularity\message\JNPF.Message\Service\SendMessageService.cs
ShortLinkService	message	backend\modularity\message\JNPF.Message\Service\ShortLinkService.cs
WechatMiniProgramService	message	backend\modularity\message\JNPF.Message\Service\WechatMiniProgramService.cs
WechatOpenService	message	backend\modularity\message\JNPF.Message\Service\WechatOpenService.cs
OAuthService	oauth	backend\modularity\oauth\JNPF.OAuth\OAuthService.cs
RefreshTokenService	oauth	backend\modularity\oauth\JNPF.OAuth\RefreshTokenService.cs
ReportService	report	backend\modularity\report\JNPF.Report\ReportService.cs
FileService	system	backend\modularity\system\JNPF.Systems\Common\FileService.cs
ScheduleTaskService	system	backend\modularity\system\JNPF.Systems\Common\ScheduleTaskService.cs
TenantService	system	backend\modularity\system\JNPF.Systems\Common\TenantService.cs
TestService	system	backend\modularity\system\JNPF.Systems\Common\TestService.cs
AuthorizeService	system	backend\modularity\system\JNPF.Systems\Permission\AuthorizeService.cs
DepartmentService	system	backend\modularity\system\JNPF.Systems\Permission\DepartmentService.cs
GroupService	system	backend\modularity\system\JNPF.Systems\Permission\GroupService.cs
OrganizeAdministratorService	system	backend\modularity\system\JNPF.Systems\Permission\OrganizeAdministratorService.cs
OrganizeService	system	backend\modularity\system\JNPF.Systems\Permission\OrganizeService.cs
PermissionGroupService	system	backend\modularity\system\JNPF.Systems\Permission\PermissionGroupService.cs
PositionService	system	backend\modularity\system\JNPF.Systems\Permission\PositionService.cs
RoleService	system	backend\modularity\system\JNPF.Systems\Permission\RoleService.cs
SocialsUserService	system	backend\modularity\system\JNPF.Systems\Permission\SocialsUserService.cs
UserRelationService	system	backend\modularity\system\JNPF.Systems\Permission\UserRelationService.cs
UsersCurrentService	system	backend\modularity\system\JNPF.Systems\Permission\UsersCurrentService.cs
UsersImportExportService	system	backend\modularity\system\JNPF.Systems\Permission\UsersImportExportService.cs
UsersMutationService	system	backend\modularity\system\JNPF.Systems\Permission\UsersMutationService.cs
UsersQueryService	system	backend\modularity\system\JNPF.Systems\Permission\UsersQueryService.cs
UsersService	system	backend\modularity\system\JNPF.Systems\Permission\UsersService.cs
AdvancedQueryService	system	backend\modularity\system\JNPF.Systems\System\AdvancedQueryService.cs
BillRuleService	system	backend\modularity\system\JNPF.Systems\System\BillRuleService.cs
ComFieldsService	system	backend\modularity\system\JNPF.Systems\System\ComFieldsService.cs
CommonWordsService	system	backend\modularity\system\JNPF.Systems\System\CommonWordsService.cs
DataBaseService	system	backend\modularity\system\JNPF.Systems\System\DataBaseService.cs
DataInterfaceLogService	system	backend\modularity\system\JNPF.Systems\System\DataInterfaceLogService.cs
DataInterfaceService	system	backend\modularity\system\JNPF.Systems\System\DataInterfaceService.cs
DataInterfaceVariateService	system	backend\modularity\system\JNPF.Systems\System\DataInterfaceVariateService.cs
DataSyncService	system	backend\modularity\system\JNPF.Systems\System\DataSyncService.cs
DbLinkService	system	backend\modularity\system\JNPF.Systems\System\DbLinkService.cs
DictionaryDataService	system	backend\modularity\system\JNPF.Systems\System\DictionaryDataService.cs
DictionaryTypeService	system	backend\modularity\system\JNPF.Systems\System\DictionaryTypeService.cs
InterfaceOauthService	system	backend\modularity\system\JNPF.Systems\System\InterfaceOauthService.cs
LocationService	system	backend\modularity\system\JNPF.Systems\System\LocationService.cs
MenuDataService	system	backend\modularity\system\JNPF.Systems\System\MenuDataService.cs
ModuleButtonService	system	backend\modularity\system\JNPF.Systems\System\ModuleButtonService.cs
ModuleColumnService	system	backend\modularity\system\JNPF.Systems\System\ModuleColumnService.cs
ModuleDataAuthorizeLinkService	system	backend\modularity\system\JNPF.Systems\System\ModuleDataAuthorizeLinkService.cs
ModuleDataAuthorizeSchemeService	system	backend\modularity\system\JNPF.Systems\System\ModuleDataAuthorizeSchemeService.cs
ModuleDataAuthorizeService	system	backend\modularity\system\JNPF.Systems\System\ModuleDataAuthorizeService.cs
ModuleFormService	system	backend\modularity\system\JNPF.Systems\System\ModuleFormService.cs
ModuleService	system	backend\modularity\system\JNPF.Systems\System\ModuleService.cs
MonitorService	system	backend\modularity\system\JNPF.Systems\System\MonitorService.cs
OnlineUserService	system	backend\modularity\system\JNPF.Systems\System\OnlineUserService.cs
PortalManageService	system	backend\modularity\system\JNPF.Systems\System\PortalManageService.cs
PrintDevService	system	backend\modularity\system\JNPF.Systems\System\PrintDevService.cs
PrintLogService	system	backend\modularity\system\JNPF.Systems\System\PrintLogService.cs
ProvinceAtlasService	system	backend\modularity\system\JNPF.Systems\System\ProvinceAtlasService.cs
ProvinceService	system	backend\modularity\system\JNPF.Systems\System\ProvinceService.cs
ScheduleService	system	backend\modularity\system\JNPF.Systems\System\ScheduleService.cs
SignatureService	system	backend\modularity\system\JNPF.Systems\System\SignatureService.cs
SynThirdInfoService	system	backend\modularity\system\JNPF.Systems\System\SynThirdInfoService.cs
SysCacheService	system	backend\modularity\system\JNPF.Systems\System\SysCacheService.cs
SysConfigService	system	backend\modularity\system\JNPF.Systems\System\SysConfigService.cs
SysLogService	system	backend\modularity\system\JNPF.Systems\System\SysLogService.cs
SystemService	system	backend\modularity\system\JNPF.Systems\System\SystemService.cs
TimeTaskService	taskscheduler	backend\modularity\taskscheduler\JNPF.TaskScheduler\TimeTaskService.cs
ScreenCategoryService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenCategoryService.cs
ScreenComponentService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenComponentService.cs
ScreenDataSourceService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenDataSourceService.cs
ScreenGlobalService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenGlobalService.cs
ScreenMapConfigService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenMapConfigService.cs
ScreenRecordService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenRecordService.cs
ScreenService	visualdata	backend\modularity\visualdata\JNPF.VisualData\ScreenService.cs
DashboardService	visualdev	backend\modularity\visualdev\JNPF.VisualDev\DashboardService.cs
PortalService	visualdev	backend\modularity\visualdev\JNPF.VisualDev\PortalService.cs
VisualdevModelAppService	visualdev	backend\modularity\visualdev\JNPF.VisualDev\VisualdevModelAppService.cs
VisualDevModelDataService	visualdev	backend\modularity\visualdev\JNPF.VisualDev\VisualDevModelDataService.cs
VisualDevService	visualdev	backend\modularity\visualdev\JNPF.VisualDev\VisualDevService.cs
VisualdevShortLinkService	visualdev	backend\modularity\visualdev\JNPF.VisualDev\VisualdevShortLinkService.cs
FlowBeforeService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowBeforeService.cs
FlowCommentService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowCommentService.cs
FlowDelegateService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowDelegateService.cs
FlowFormService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowFormService.cs
FlowLaunchService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowLaunchService.cs
FlowMonitorService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowMonitorService.cs
FlowTaskService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowTaskService.cs
FlowTemplateService	workflow	backend\modularity\workflow\JNPF.WorkFlow\Service\FlowTemplateService.cs
LeaveApplyService	workflow	backend\modularity\workflow\JNPF.WorkFlow\WorkFlowForm\LeaveApplyService.cs
SalesOrderService	workflow	backend\modularity\workflow\JNPF.WorkFlow\WorkFlowForm\SalesOrderService.cs
ConfigController	zxdev	backend\modularity\zxdev\JNPF.ZxDev\ConfigController.cs
MessageController	zxdev	backend\modularity\zxdev\JNPF.ZxDev\MessageController.cs
ZxSystemController	zxdev	backend\modularity\zxdev\JNPF.ZxDev\ZxSystemController.cs
