table_name	module	file
BASE_KNOWLEDGE_RULE	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\KnowledgeRuleEntity.cs
BASE_MENU_BADGE	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\MenuBadgeEntity.cs
BASE_MESSAGE	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageEntity.cs
BASE_MODULE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleEntity.cs
BASE_MODULE_AUTHORIZE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleDataAuthorizeEntity.cs
BASE_MODULE_BUTTON	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleButtonEntity.cs
BASE_MODULE_COLUMN	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleColumnEntity.cs
BASE_MODULE_FORM	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleFormEntity.cs
BASE_MODULE_LINK	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleDataAuthorizeLinkEntity.cs
BASE_MODULE_SCHEME	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleDataAuthorizeSchemeEntity.cs
BASE_MSG_ACCOUNT	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageAccountEntity.cs
BASE_MSG_MONITOR	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageMonitorEntity.cs
BASE_MSG_SEND	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageSendEntity.cs
BASE_MSG_SEND_TEMPLATE	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageSendTemplateEntity.cs
BASE_MSG_SHORT_LINK	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageShortLinkEntity.cs
BASE_MSG_SMS_FIELD	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageSmsFieldEntity.cs
BASE_MSG_TEMPLATE	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageTemplateEntity.cs
BASE_MSG_TEMPLATE_PARAM	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageTemplateParamEntity.cs
BASE_MSG_WECHAT_USER	message	backend\modularity\message\JNPF.Message.Entitys\Entity\MessageWechatUserEntity.cs
BASE_NOTICE	message	backend\modularity\message\JNPF.Message.Entitys\Entity\NoticeEntity.cs
BASE_ORGANIZE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\OrganizeEntity.cs
BASE_ORGANIZE_ADMINISTRATOR	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\OrganizeAdministratorEntity.cs
BASE_ORGANIZE_RELATION	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\OrganizeRelationEntity.cs
BASE_PERMISSION_GROUP	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\PermissionGroupEntity.cs
BASE_PORTAL	visualdev	backend\modularity\visualdev\JNPF.VisualDev.Entitys\Entity\PortalEntity.cs
BASE_PORTAL_DATA	visualdev	backend\modularity\visualdev\JNPF.VisualDev.Entitys\Entity\PortalDataEntity.cs
BASE_PORTAL_MANAGE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\PortalManageEntity.cs
BASE_POSITION	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\PositionEntity.cs
BASE_PRINT_LOG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\PrintLogEntity.cs
BASE_PRINT_TEMPLATE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\PrintDevEntity.cs
BASE_PROVINCE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ProvinceEntity.cs
BASE_PROVINCE_ATLAS	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ProvinceAtlasEntity.cs
BASE_REPORT	report	backend\modularity\report\JNPF.Report.Entitys\Entity\ReportEntity.cs
BASE_ROLE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\RoleEntity.cs
BASE_SCHEDULE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ScheduleEntity.cs
BASE_SCHEDULE_LOG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ScheduleLogEntity.cs
BASE_SCHEDULE_USER	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ScheduleUserEntity.cs
BASE_SIGN_IMG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\SignImgEntity.cs
BASE_SIGNATURE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\SignatureEntity.cs
BASE_SIGNATURE_USER	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\SignatureUserEntity.cs
BASE_SOCIALS_USERS	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\SocialsUsersEntity.cs
BASE_STUDIO_MENU	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\StudioMenuEntity.cs
BASE_SYN_THIRD_INFO	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\SynThirdInfoEntity.cs
BASE_SYS_CONFIG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\SysConfigEntity.cs
BASE_SYS_LOG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\SysLogEntity.cs
BASE_SYSTEM	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\SystemEntity.cs
BASE_TIME_TASK	taskscheduler	backend\modularity\taskscheduler\JNPF.TaskScheduler.Entitys\Entity\TimeTaskEntity.cs
BASE_TIME_TASK_LOG	taskscheduler	backend\modularity\taskscheduler\JNPF.TaskScheduler.Entitys\Entity\TimeTaskLogEntity.cs
BASE_USER	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\UserEntity.cs
BASE_USER_DEVICE	message	backend\modularity\message\JNPF.Message.Entitys\Entity\UserDeviceEntity.cs
BASE_USER_OLD_PASSWORD	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\UserOldPasswordEntity.cs
BASE_USER_RELATION	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\UserRelationEntity.cs
BASE_VISUAL_DEV	visualdev	backend\modularity\visualdev\JNPF.VisualDev.Entitys\Entity\VisualDevEntity.cs
BASE_VISUAL_LINK	visualdev	backend\modularity\visualdev\JNPF.VisualDev.Entitys\Entity\VisualDevShortLinkEntity.cs
BASE_VISUAL_RELEASE	visualdev	backend\modularity\visualdev\JNPF.VisualDev.Entitys\Entity\VisualDevReleaseEntity.cs
BLADE_VISUAL	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualEntity.cs
BLADE_VISUAL_CATEGORY	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualCategoryEntity.cs
BLADE_VISUAL_COMPONENT	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualComponentEntity.cs
BLADE_VISUAL_CONFIG	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualConfigEntity.cs
BLADE_VISUAL_DB	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualDBEntity.cs
BLADE_VISUAL_GLOB	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualGlobalEntity.cs
BLADE_VISUAL_MAP	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualMapEntity.cs
BLADE_VISUAL_RECORD	visualdata	backend\modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualRecordEntity.cs
EXT_BIG_DATA	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\BigDataEntity.cs
EXT_DOCUMENT	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\DocumentEntity.cs
EXT_DOCUMENT_SHARE	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\DocumentShareEntity.cs
EXT_EMAIL_CONFIG	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\EmailConfigEntity.cs
EXT_EMAIL_RECEIVE	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\EmailReceiveEntity.cs
EXT_EMAIL_SEND	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\EmailSendEntity.cs
EXT_EMPLOYEE	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\EmployeeEntity.cs
EXT_ORDER	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\OrderEntity.cs
EXT_ORDER_ENTRY	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\OrderEntryEntity.cs
EXT_ORDER_RECEIVABLE	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\OrderReceivableEntity.cs
EXT_PRODUCT	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\ProductEntity.cs
EXT_PRODUCT_CLASSIFY	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\ProductClassifyEntity.cs
EXT_PRODUCT_ENTRY	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\ProductEntryEntity.cs
EXT_PRODUCT_GOODS	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\ProductgoodsEntity.cs
EXT_PROJECT_GANTT	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\ProjectGanttEntity.cs
EXT_TABLE_EXAMPLE	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\TableExampleEntity.cs
EXT_WORK_LOG	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\WorkLogEntity.cs
EXT_WORK_LOG_SHARE	extend	backend\modularity\extend\JNPF.Extend.Entitys\Entity\WorkLogShareEntity.cs
FLOW_CANDIDATES	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowCandidatesEntity.cs
FLOW_COMMENT	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowCommentEntity.cs
FLOW_DELEGATE	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowDelegateEntity.cs
FLOW_EVENT_LOG	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowEventLogEntity.cs
FLOW_FORM	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowFormEntity.cs
FLOW_FORM_AUTHORIZE	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowFormAuthorizeEntity.cs
FLOW_FORM_RELATION	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowFormRelationEntity.cs
FLOW_LAUNCH_USER	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowUserEntity.cs
FLOW_REJECT_DATA	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowRejectDataEntity.cs
FLOW_TASK	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskEntity.cs
FLOW_TASK_CIRCULATE	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskCirculateEntity.cs
FLOW_TASK_NODE	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskNodeEntity.cs
FLOW_TASK_OPERATOR	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskOperatorEntity.cs
FLOW_TASK_OPERATOR_RECORD	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskOperatorRecordEntity.cs
FLOW_TASK_OPERATOR_USER	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskOperatorUserEntity.cs
FLOW_TEMPLATE	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTemplateEntity.cs
FLOW_TEMPLATE_JSON	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTemplateJsonEntity.cs
FLOW_VISIBLE	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowVisibleEntity.cs
INTE_ASSISTANT_ATTACHMENT	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\InteAssistantAttachment.cs
INTE_ASSISTANT_DELIVERABLE	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant.Entitys\Entity\InteAssistantDeliverable.cs
SYS_DIFF_LOG	common	backend\modularity\common\JNPF.Common\Models\Sys\SysDiffLogEntity.cs
WFORM_LEAVEAPPLY	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\WorkFlowForm\LeaveApplyEntity.cs
WFORM_SALESORDER	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\WorkFlowForm\SalesOrderEntity.cs
WFORM_SALESORDERENTRY	workflow	backend\modularity\workflow\JNPF.WorkFlow.Entitys\Entity\WorkFlowForm\SalesOrderEntryEntity.cs
ZX_SYS_CONFIG	zxdev	backend\modularity\zxdev\JNPF.ZxDev.Entitys\SysConfig.cs
ZX_SYSTEM_DB	zxdev	backend\modularity\zxdev\JNPF.ZxDev.Entitys\SystemDbEntity.cs
SYS_EVENT_OUTBOX_MESSAGE	infrastructure	backend\infrastructure\JNPF.Extras.EventBus.Outbox\EventBus\Outbox\EventOutboxMessage.cs
SYS_PROCESSED_EVENT	infrastructure	backend\infrastructure\JNPF.Extras.EventBus.Outbox\EventBus\Idempotency\ProcessedEvent.cs
