table_name,prefix,rows,cols,tenant_style,pk_type,domain,domain_source,classification,write_owner,read_consumers,transaction,evidence
BASE_KNOWLEDGE_NODE,BASE,0,15,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_KNOWLEDGE_RULE,BASE,0,16,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_MENU_BADGE,BASE,0,8,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_message,base,1229,20,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_module,base,210,28,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,SHARED,,,,ng1-batch1/db-matrix-raw.tsv
base_module_authorize,base,8,24,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_module_button,base,34,20,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_module_column,base,6,22,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_module_form,base,6,21,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_module_link,base,2,15,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_module_scheme,base,8,20,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_account,base,4,39,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_monitor,base,147,21,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_send,base,24,17,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_send_template,base,23,17,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_short_link,base,0,21,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_sms_field,base,0,17,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_template,base,26,23,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_template_param,base,78,15,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_msg_wechat_user,base,0,16,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_notice,base,3,22,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_organize,base,6,20,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_organize_administrator,base,5,25,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_organize_relation,base,0,15,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_permission_group,base,5,16,F_Tenant_Id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_portal,base,2,24,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_portal_data,base,9,16,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_portal_manage,base,2,16,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_position,base,2,18,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_print_log,base,21,14,f_tenant_id,nvarchar,TBD-Platform,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_print_template,base,5,25,f_tenant_id,nvarchar,TBD-Platform,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_province,base,47512,18,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_province_atlas,base,3210,20,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
BASE_REPORT,BASE,5,14,NONE,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_role,base,9,18,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
BASE_SANDBOX,BASE,0,22,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_schedule,base,0,33,f_tenant_id,nvarchar,TBD-Job,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_schedule_log,base,0,35,f_tenant_id,nvarchar,TBD-Job,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_schedule_user,base,0,16,f_tenant_id,nvarchar,TBD-Job,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_sign_img,base,0,15,f_tenant_id,nvarchar,D7-File,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_signature,base,0,16,f_tenant_id,NONE,D7-File,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_signature_user,base,0,15,f_tenant_id,NONE,D7-File,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_socials_users,base,0,15,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
BASE_STUDIO_MENU,BASE,54,19,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_STUDIO_MENU_BAK_20260617,BASE,54,19,NONE,NONE,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_syn_third_info,base,0,17,f_tenant_id,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_sys_config,base,74,17,f_tenant_id,nvarchar,D2-Tenant,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_sys_log,base,12615,32,f_tenant_id,nvarchar,D9-Log,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_system,base,7,23,f_tenant_id,nvarchar,D2-Tenant,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
BASE_TENANT_GLOSSARY,BASE,0,13,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_TENANT_INDUSTRY,BASE,0,12,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_time_task,base,0,21,f_tenant_id,nvarchar,TBD-Job,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_time_task_log,base,22,16,f_tenant_id,nvarchar,TBD-Job,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_user,base,45,68,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,SHARED,,,,ng1-batch1/db-matrix-raw.tsv
base_user_device,base,0,14,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_user_old_password,base,0,15,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_user_relation,base,82,15,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_visual_dev,base,48,30,f_tenant_id,nvarchar,D5-FormLowCode,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_visual_filter,base,0,14,f_tenant_id,nvarchar,D5-FormLowCode,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_visual_link,base,0,26,f_tenant_id,nvarchar,D5-FormLowCode,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_visual_release,base,25,29,f_tenant_id,nvarchar,D5-FormLowCode,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual,blade,77,14,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_category,blade,2,6,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_component,blade,42,7,f_tenant_id,bigint,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_config,blade,77,6,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_db,blade,4,16,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_glob,blade,0,6,f_tenant_id,NONE,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_map,blade,3,5,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
blade_visual_record,blade,3,19,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
data_report,data,15,16,f_tenant_id,nvarchar,D11-Report,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
Demo_ExcelTest,Demo,3,14,NONE,varchar,D12-Demo-ORPHAN,NG1-grep-zero-refs,UNKNOWN,,,,grep SugarTable("WM_/WH_/Demo_ = 0 matches; code orphan
Demo_Order,Demo,151,15,NONE,varchar,D12-Demo-ORPHAN,NG1-grep-zero-refs,UNKNOWN,,,,grep SugarTable("WM_/WH_/Demo_ = 0 matches; code orphan
Demo_OrderDetail,Demo,60,9,NONE,varchar,D12-Demo-ORPHAN,NG1-grep-zero-refs,UNKNOWN,,,,grep SugarTable("WM_/WH_/Demo_ = 0 matches; code orphan
domain_model,domain,0,15,NONE,bigint,TBD-DomainModel,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
EVAL_METRIC,EVAL,0,13,F_TENANT_ID,bigint,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_big_data,ext,0,12,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_customer,ext,7,16,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_document,ext,4,22,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_document_share,ext,0,13,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_email_config,ext,1,21,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_email_receive,ext,0,23,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_email_send,ext,0,22,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_employee,ext,0,26,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_order,ext,9,30,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,OrderService.Save/Delete(OrderService.cs L227-238,L253-259),OrderService.GetList 3-join(OrderService.cs L84-106),NONE(0 BeginTran in extend module),OrderService.cs L199-269 + BeginTran scan
ext_order_entry,ext,6,24,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,OrderService.Save/Delete(OrderService.cs L227-238,L253-259),OrderService.GetList 3-join(OrderService.cs L84-106),NONE(0 BeginTran in extend module),OrderService.cs L199-269 + BeginTran scan
ext_order_receivable,ext,1,19,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,OrderService.Save/Delete(OrderService.cs L227-238,L253-259),OrderService.GetList 3-join(OrderService.cs L84-106),NONE(0 BeginTran in extend module),OrderService.cs L199-269 + BeginTran scan
ext_product,ext,3,38,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_product_classify,ext,6,12,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_product_entry,ext,12,23,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_product_goods,ext,10,18,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_project_gantt,ext,0,24,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_table_example,ext,33,28,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_work_log,ext,0,17,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ext_work_log_share,ext,0,13,f_tenant_id,nvarchar,D12-OrderExt,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_candidates,flow,0,18,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_comment,flow,0,16,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_delegate,flow,0,23,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_event_log,flow,24,15,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_form,flow,4,27,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_form_authorize,flow,0,14,f_tenant_id,NONE,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNERSHIP-CONFLICT,,,,ng1-batch1/db-matrix-raw.tsv
flow_form_relation,flow,1,13,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
flow_launch_user,flow,16,18,f_tenant_id,nvarchar,D4-Workflow,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
